Designator,Mid X,Mid Y,Rotation,Layer
C1,7.25,3.25,180.0,top
C10,24.75,38.325,0.0,top
C11,16.45,25.5,90.0,top
C12,24.75,20.575,0.0,top
C13,83.2,75.0,270.0,top
C14,75.0,79.925,180.0,top
C15,83.2,57.25,270.0,top
C16,75.0,62.175,180.0,top
C17,83.2,39.5,270.0,top
C18,75.0,44.425,180.0,top
C19,83.2,21.75,270.0,top
C2,34.25,5.0,270.0,top
C20,75.0,26.675,180.0,top
C3,84.25,12.0,270.0,top
C4,32.25,5.0,270.0,top
C5,16.45,78.75,90.0,top
C6,24.75,73.825,0.0,top
C7,16.45,61.0,90.0,top
C8,24.75,56.075,0.0,top
C9,16.45,43.25,90.0,top
D1,32.75,7.5,180.0,top
D2,20.1375,68.575,0.0,top
D3,20.1375,50.825,0.0,top
D4,20.1375,33.075,0.0,top
D5,20.1375,15.325,0.0,top
D6,79.6125,85.175,180.0,top
D7,79.6125,67.425,180.0,top
D8,79.6125,49.675,180.0,top
D9,79.6125,31.925,180.0,top
J1,38.45,59.57,90.0,top
J2,61.31,59.57,90.0,top
J3,38.45,22.78,270.0,top
J4,61.35,22.68,270.0,top
J5,27.5,7.31,270.0,top
J6,21.75,7.31,270.0,top
Q1,24.6375,71.075,0.0,top
Q2,24.6375,53.325,0.0,top
Q3,24.6375,35.575,0.0,top
Q4,24.6375,17.825,0.0,top
Q5,75.1125,82.675,180.0,top
Q6,75.1125,64.925,180.0,top
Q7,75.1125,47.175,180.0,top
Q8,75.1125,29.425,180.0,top
R1,36.25,5.0,90.0,top
R10,22.8875,65.325,0.0,top
R11,26.3875,65.325,180.0,top
R12,20.1375,54.825,0.0,top
R13,16.6375,52.825,180.0,top
R14,16.6375,54.825,180.0,top
R15,20.1375,52.825,180.0,top
R16,22.8875,47.575,0.0,top
R17,26.3875,47.575,180.0,top
R18,20.1375,37.075,0.0,top
R19,16.6375,35.075,180.0,top
R2,38.25,5.0,90.0,top
R20,16.6375,37.075,180.0,top
R21,20.1375,35.075,180.0,top
R22,22.8875,29.825,0.0,top
R23,26.3875,29.825,180.0,top
R24,20.1375,19.325,0.0,top
R25,16.6375,17.325,180.0,top
R26,16.6375,19.325,180.0,top
R27,20.1375,17.325,180.0,top
R28,76.8625,70.675,180.0,top
R29,73.3625,70.675,0.0,top
R3,37.25,7.75,180.0,top
R30,79.6125,81.175,180.0,top
R31,83.1125,83.175,0.0,top
R32,83.1125,81.175,0.0,top
R33,79.6125,83.175,0.0,top
R34,76.8625,52.925,180.0,top
R35,73.3625,52.925,0.0,top
R36,79.6125,63.425,180.0,top
R37,83.1125,65.425,0.0,top
R38,83.1125,63.425,0.0,top
R39,79.6125,65.425,0.0,top
R4,22.95,83.0,0.0,top
R40,76.8625,35.175,180.0,top
R41,73.3625,35.175,0.0,top
R42,79.6125,45.675,180.0,top
R43,83.1125,47.675,0.0,top
R44,83.1125,45.675,0.0,top
R45,79.6125,47.675,0.0,top
R46,76.8625,17.425,180.0,top
R47,73.3625,17.425,0.0,top
R48,79.6125,27.925,180.0,top
R49,83.1125,29.925,0.0,top
R5,26.3875,83.0,180.0,top
R50,83.1125,27.925,0.0,top
R51,79.6125,29.925,0.0,top
R52,27.7,71.075,90.0,top
R53,27.7,53.25,90.0,top
R54,27.7,35.5,90.0,top
R55,27.7,17.75,90.0,top
R56,72.2,82.75,270.0,top
R57,71.95,65.0,270.0,top
R58,71.95,47.25,270.0,top
R59,71.95,29.425,270.0,top
R6,20.1375,72.575,0.0,top
R7,16.6375,70.575,180.0,top
R8,16.6375,72.575,180.0,top
R9,20.1375,70.575,180.0,top
SD1,14.4875,83.175,270.0,top
SD2,14.4875,65.425,270.0,top
SD3,14.4875,47.675,270.0,top
SD4,14.4875,29.925,270.0,top
SD5,85.2625,70.575,90.0,top
SD6,85.2625,52.825,90.0,top
SD7,85.2625,35.075,90.0,top
SD8,85.2625,17.325,90.0,top
SW1,24.75,78.5,90.0,top
SW2,24.75,60.75,90.0,top
SW3,24.75,43.0,90.0,top
SW4,24.75,25.25,90.0,top
SW5,75.0,75.25,270.0,top
SW6,75.0,57.5,270.0,top
SW7,75.0,39.75,270.0,top
SW8,75.0,22.0,270.0,top
U1,8.75,9.5,0.0,top
U2,90.97875,8.33125,180.0,top
